C
C  Ground state configurations and ionization energies of free atoms of
 51 Sb  1 K  1s1/2  2  3.04793E+04  3.04960E+04  3.04910E+04  8.93690E+00  9.20000E+00
 51 Sb  2 L1 2s1/2  2  4.67376E+03  4.70300E+03  4.69800E+03  3.14645E+00  2.30000E+00
 51 Sb  3 L2 2p1/2  2  4.38610E+03  4.38500E+03  4.38000E+03  2.70966E+00  2.74000E+00
 51 Sb  4 L3 2p3/2  4  4.13015E+03  4.13700E+03  4.13200E+03  2.49239E+00  2.53000E+00
 51 Sb  5 M1 3s1/2  2  9.28925E+02  9.49000E+02  9.46000E+02  1.28725E+01  1.00000E+01
 51 Sb  6 M2 3p1/2  2  8.09102E+02  8.17000E+02  8.12700E+02  4.41988E+00  3.00000E+00
 51 Sb  7 M3 3p3/2  4  7.61376E+02  7.71000E+02  7.66400E+02  4.80011E+00  3.60000E+00
 51 Sb  8 M4 3d3/2  4  5.47476E+02  5.42000E+02  5.37500E+02  4.72913E-01  4.70000E-01
 51 Sb  9 M5 3d5/2  6  5.37425E+02  5.33000E+02  5.28200E+02  4.77558E-01  4.80000E-01
 51 Sb 10 N1 4s1/2  2  1.58082E+02  1.57000E+02  1.53200E+02  2.25921E+01  2.60000E+00
 51 Sb 11 N2 4p1/2  2  1.16820E+02  1.14000E+02  9.56000E+01  2.36212E+01  0.00000E+00
 51 Sb 12 N3 4p3/2  4  1.07841E+02  1.04000E+02  9.56000E+01  3.03261E+01  0.00000E+00
 51 Sb 13 N4 4d3/2  4  4.15883E+01  3.80000E+01  3.33000E+01  1.37971E-01  1.40000E-01
 51 Sb 14 N5 4d5/2  6  4.02359E+01  3.70000E+01  3.21000E+01  1.44311E-01  1.40000E-01
 51 Sb 17 O1 5s1/2  2  1.57557E+01  1.50000E+01  1.04500E+01  0.00000E+00  0.00000E+00
 51 Sb 18 O2 5p1/2  2  7.60478E+00  8.64000E+00  4.09000E+00  0.00000E+00  0.00000E+00
 51 Sb 19 O3 5p3/2  1  6.89843E+00  8.64000E+00  4.09000E+00  0.00000E+00  0.00000E+00
 52 Te  1 K  1s1/2  2  3.18060E+04  3.18200E+04  3.18140E+04  9.63560E+00  9.91000E+00
 52 Te  2 L1 2s1/2  2  4.91438E+03  4.94500E+03  4.93900E+03  3.27151E+00  2.20000E+00
 52 Te  3 L2 2p1/2  2  4.61837E+03  4.61800E+03  4.61200E+03  2.81224E+00  2.84000E+00
 52 Te  4 L3 2p3/2  4  4.33946E+03  4.34700E+03  4.34100E+03  2.58760E+00  2.62000E+00
 52 Te  5 M1 3s1/2  2  9.91129E+02  1.01200E+03  1.00600E+03  1.32000E+01  1.02000E+01
 52 Te  6 M2 3p1/2  2  8.67132E+02  8.76000E+02  8.70800E+02  4.63961E+00  3.20000E+00
 52 Te  7 M3 3p3/2  4  8.14618E+02  8.25000E+02  8.20000E+02  5.05525E+00  3.90000E+00
 52 Te  8 M4 3d3/2  4  5.93515E+02  5.89000E+02  5.83400E+02  5.14848E-01  5.20000E-01
 52 Te  9 M5 3d5/2  6  5.82392E+02  5.78000E+02  5.73000E+02  5.18476E-01  5.20000E-01
 52 Te 10 N1 4s1/2  2  1.74240E+02  1.74000E+02  1.69400E+02  1.34371E+01  2.40000E+00
 52 Te 11 N2 4p1/2  2  1.30866E+02  1.27000E+02  1.03300E+02  2.52032E+01  0.00000E+00
 52 Te 12 N3 4p3/2  4  1.20723E+02  1.17000E+02  1.03300E+02  3.60791E+01  0.00000E+00
 52 Te 13 N4 4d3/2  4  5.05159E+01  4.80000E+01  4.19000E+01  1.74663E-01  1.70000E-01
 52 Te 14 N5 4d5/2  6  4.89297E+01  4.60000E+01  4.04000E+01  1.95122E-01  2.00000E-01
 52 Te 17 O1 5s1/2  2  1.83444E+01  1.78400E+01  1.28900E+01  0.00000E+00  0.00000E+00
 52 Te 18 O2 5p1/2  2  9.14092E+00  9.01000E+00  4.06000E+00  0.00000E+00  0.00000E+00
 52 Te 19 O3 5p3/2  2  8.22091E+00  9.01000E+00  4.06000E+00  0.00000E+00  0.00000E+00
 53 I   1 K  1s1/2  2  3.31650E+04  3.31760E+04  3.31690E+04  1.03797E+01  1.07000E+01
 53 I   2 L1 2s1/2  2  5.16221E+03  5.19500E+03  5.18800E+03  3.39900E+00  2.10000E+00
 53 I   3 L2 2p1/2  2  4.85773E+03  4.85800E+03  4.85200E+03  2.91307E+00  2.95000E+00
 53 I   4 L3 2p3/2  4  4.55428E+03  4.56300E+03  4.55700E+03  2.68334E+00  2.72000E+00
 53 I   5 M1 3s1/2  2  1.05556E+03  1.07800E+03  1.07200E+03  1.30055E+01  1.04000E+01
 53 I   6 M2 3p1/2  2  9.27337E+02  9.37000E+02  9.31000E+02  4.88820E+00  3.35000E+00
 53 I   7 M3 3p3/2  4  8.69666E+02  8.81000E+02  8.75000E+02  5.31275E+00  4.30000E+00
 53 I   8 M4 3d3/2  4  6.41315E+02  6.38000E+02  6.30800E+02  5.55497E-01  5.60000E-01
 53 I   9 M5 3d5/2  6  6.29037E+02  6.26000E+02  6.19300E+02  5.57969E-01  5.60000E-01
 53 I  10 N1 4s1/2  2  1.91038E+02  1.93000E+02  1.86000E+02  6.37118E+00  2.40000E+00
 53 I  11 N2 4p1/2  2  1.45519E+02  1.41000E+02  1.23000E+02  2.59692E+01  0.00000E+00
 53 I  12 N3 4p3/2  4  1.34102E+02  1.31000E+02  1.23000E+02  4.39832E+01  0.00000E+00
 53 I  13 N4 4d3/2  4  5.99300E+01  5.80000E+01  5.06000E+01  1.05805E-01  1.10000E-01
 53 I  14 N5 4d5/2  6  5.80862E+01  5.60000E+01  4.89000E+01  1.20854E-01  1.20000E-01
 53 I  17 O1 5s1/2  2  2.09656E+01  2.06100E+01  2.06100E+01  0.00000E+00  0.00000E+00
 53 I  18 O2 5p1/2  2  1.07279E+01  1.04500E+01  1.04500E+01  0.00000E+00  0.00000E+00
 53 I  19 O3 5p3/2  3  9.57363E+00  1.04500E+01  1.04500E+01  0.00000E+00  0.00000E+00
 54 Xe  1 K  1s1/2  2  3.45565E+04  3.45650E+04  3.45610E+04  1.11077E+01  1.15000E+01
 54 Xe  2 L1 2s1/2  2  5.41733E+03  5.45320E+03  5.45300E+03  3.34658E+00  2.00000E+00
 54 Xe  3 L2 2p1/2  2  5.10428E+03  5.10720E+03  5.10700E+03  2.85114E+00  3.05000E+00
 54 Xe  4 L3 2p3/2  4  4.77462E+03  4.78730E+03  4.78600E+03  2.62514E+00  2.82000E+00
 54 Xe  5 M1 3s1/2  2  1.12224E+03  1.14870E+03  1.14870E+03  1.11741E+01  1.06000E+01
 54 Xe  6 M2 3p1/2  2  9.89741E+02  1.00210E+03  1.00210E+03  4.98034E+00  3.50000E+00
 54 Xe  7 M3 3p3/2  4  9.26524E+02  9.40600E+02  9.40600E+02  5.57682E+00  4.70000E+00
 54 Xe  8 M4 3d3/2  4  6.90880E+02  6.89000E+02  6.89000E+02  5.94912E-01  6.00000E-01
 54 Xe  9 M5 3d5/2  6  6.77358E+02  6.76400E+02  6.76400E+02  5.95986E-01  6.00000E-01
 54 Xe 10 N1 4s1/2  2  2.08487E+02  2.13200E+02  2.13200E+02  5.19820E+00  2.60000E+00
 54 Xe 11 N2 4p1/2  2  1.60793E+02  1.57000E+02  1.46700E+02  2.57052E+01  0.00000E+00
 54 Xe 12 N3 4p3/2  4  1.47984E+02  1.45500E+02  1.45500E+02  3.19732E+01  0.00000E+00
 54 Xe 13 N4 4d3/2  4  6.98371E+01  6.95000E+01  6.95000E+01  8.04992E-02  1.00000E-01
 54 Xe 14 N5 4d5/2  6  6.77106E+01  6.75000E+01  6.75000E+01  8.04311E-02  8.00000E-02
 54 Xe 17 O1 5s1/2  2  2.36340E+01  2.33900E+01  2.33000E+01  0.00000E+00  0.00000E+00
 54 Xe 18 O2 5p1/2  2  1.23672E+01  1.34300E+01  1.34000E+01  0.00000E+00  0.00000E+00
 54 Xe 19 O3 5p3/2  4  1.09547E+01  1.21300E+01  1.21000E+01  0.00000E+00  0.00000E+00
 55 Cs  1 K  1s1/2  2  3.59863E+04  3.59870E+04  3.59850E+04  1.19457E+01  1.23000E+01
 55 Cs  2 L1 2s1/2  2  5.68531E+03  5.71700E+03  5.71400E+03  3.47401E+00  2.00000E+00
 55 Cs  3 L2 2p1/2  2  5.36359E+03  5.36200E+03  5.35900E+03  2.95303E+00  3.15000E+00
 55 Cs  4 L3 2p3/2  4  5.00597E+03  5.01400E+03  5.01200E+03  2.72317E+00  2.92000E+00
 55 Cs  5 M1 3s1/2  2  1.19664E+03  1.22000E+03  1.21100E+03  1.15517E+01  1.08000E+01
 55 Cs  6 M2 3p1/2  2  1.05982E+03  1.06800E+03  1.07100E+03  4.94307E+00  3.70000E+00
 55 Cs  7 M3 3p3/2  4  9.90640E+02  1.00000E+03  1.00300E+03  5.84626E+00  5.00000E+00
 55 Cs  8 M4 3d3/2  4  7.47661E+02  7.42000E+02  7.40500E+02  6.26901E-01  6.30000E-01
 55 Cs  9 M5 3d5/2  6  7.32802E+02  7.28000E+02  7.26600E+02  6.32886E-01  6.30000E-01
 55 Cs 10 N1 4s1/2  2  2.31991E+02  2.33000E+02  2.32300E+02  5.76202E+00  2.80000E+00
 55 Cs 11 N2 4p1/2  2  1.82088E+02  1.74000E+02  1.72400E+02  2.33983E+01  0.00000E+00
 55 Cs 12 N3 4p3/2  4  1.67759E+02  1.64000E+02  1.61300E+02  3.72712E+01  0.00000E+00
 55 Cs 13 N4 4d3/2  4  8.56027E+01  8.10000E+01  7.98000E+01  7.71961E-02  8.00000E-02
 55 Cs 14 N5 4d5/2  6  8.31640E+01  7.90000E+01  7.75000E+01  7.48806E-02  8.00000E-02
 55 Cs 17 O1 5s1/2  2  3.09946E+01  2.50000E+01  2.27000E+01  0.00000E+00  0.00000E+00
 55 Cs 18 O2 5p1/2  2  1.82844E+01  1.40000E+01  1.42000E+01  0.00000E+00  0.00000E+00
 55 Cs 19 O3 5p3/2  4  1.64267E+01  1.23000E+01  1.21000E+01  0.00000E+00  0.00000E+00
 55 Cs 24 P1 6s1/2  1  3.69618E+00  3.89000E+00  1.94000E+00  0.00000E+00  0.00000E+00
 56 Ba  1 K  1s1/2  2  3.74496E+04  3.74420E+04  3.74410E+04  1.28333E+01  1.32000E+01
 56 Ba  2 L1 2s1/2  2  5.96120E+03  5.99100E+03  5.98900E+03  3.60622E+00  2.10000E+00
 56 Ba  3 L2 2p1/2  2  5.63071E+03  5.62600E+03  5.62400E+03  3.05542E+00  3.25000E+00
 56 Ba  4 L3 2p3/2  4  5.24327E+03  5.24900E+03  5.24700E+03  2.82216E+00  3.02000E+00
 56 Ba  5 M1 3s1/2  2  1.27372E+03  1.29300E+03  1.29300E+03  1.18775E+01  1.11000E+01
 56 Ba  6 M2 3p1/2  2  1.13252E+03  1.13800E+03  1.13700E+03  5.12977E+00  3.90000E+00
 56 Ba  7 M3 3p3/2  4  1.05695E+03  1.06300E+03  1.06300E+03  6.08959E+00  5.40000E+00
 56 Ba  8 M4 3d3/2  4  8.06596E+02  7.97000E+02  7.95700E+02  6.55726E-01  6.70000E-01
 56 Ba  9 M5 3d5/2  6  7.90303E+02  7.82000E+02  7.80500E+02  6.68000E-01  6.70000E-01
 56 Ba 10 N1 4s1/2  2  2.56479E+02  2.54000E+02  2.53500E+02  6.32944E+00  3.10000E+00
 56 Ba 11 N2 4p1/2  2  2.04334E+02  1.93000E+02  1.92000E+02  1.74123E+01  5.00000E+00
 56 Ba 12 N3 4p3/2  4  1.88348E+02  1.81000E+02  1.78600E+02  2.48833E+00  1.30000E+00
 56 Ba 13 N4 4d3/2  4  1.02155E+02  9.40000E+01  9.26000E+01  8.06317E-02  8.00000E-02
 56 Ba 14 N5 4d5/2  6  9.93735E+01  9.20000E+01  8.99000E+01  8.11257E-02  8.00000E-02
 56 Ba 17 O1 5s1/2  2  3.84209E+01  3.10000E+01  3.03000E+01  6.44097E-01  0.00000E+00
 56 Ba 18 O2 5p1/2  2  2.43228E+01  1.80000E+01  1.70000E+01  0.00000E+00  0.00000E+00
 56 Ba 19 O3 5p3/2  4  2.19981E+01  1.60000E+01  1.48000E+01  0.00000E+00  0.00000E+00
 56 Ba 24 P1 6s1/2  2  4.63943E+00  5.21000E+00  2.69000E+00  0.00000E+00  0.00000E+00
 57 La  1 K  1s1/2  2  3.89442E+04  3.89280E+04  3.89250E+04  1.37707E+01  1.42000E+01
 57 La  2 L1 2s1/2  2  6.24222E+03  6.26900E+03  6.26600E+03  3.73439E+00  2.20000E+00
 57 La  3 L2 2p1/2  2  5.90284E+03  5.89400E+03  5.89100E+03  3.16240E+00  3.35000E+00
 57 La  4 L3 2p3/2  4  5.48366E+03  5.48600E+03  5.48300E+03  2.92327E+00  3.12000E+00
 57 La  5 M1 3s1/2  2  1.35068E+03  1.36500E+03  1.36200E+03  1.21572E+01  1.14000E+01
 57 La  6 M2 3p1/2  2  1.20505E+03  1.20700E+03  1.20900E+03  5.28947E+00  4.10000E+00
 57 La  7 M3 3p3/2  4  1.12263E+03  1.12400E+03  1.12800E+03  6.12463E+00  5.80000E+00
 57 La  8 M4 3d3/2  4  8.64844E+02  8.51000E+02  8.53000E+02  6.98494E-01  7.00000E-01
 57 La  9 M5 3d5/2  6  8.47015E+02  8.34000E+02  8.36000E+02  7.04806E-01  7.00000E-01
 57 La 10 N1 4s1/2  2  2.79206E+02  2.73000E+02  2.74700E+02  6.86567E+00  3.30000E+00
 57 La 11 N2 4p1/2  2  2.24791E+02  2.10000E+02  2.05800E+02  5.77804E+00  5.03000E+00
 57 La 12 N3 4p3/2  4  2.07005E+02  1.96000E+02  1.96000E+02  2.79386E+00  1.45000E+00
 57 La 13 N4 4d3/2  4  1.16761E+02  1.05000E+02  1.05300E+02  9.46538E-02  9.00000E-02
 57 La 14 N5 4d5/2  6  1.13606E+02  1.03000E+02  1.02500E+02  9.74771E-02  1.00000E-01
 57 La 17 O1 5s1/2  2  4.36317E+01  3.60000E+01  3.43000E+01  6.20929E-01  0.00000E+00
 57 La 18 O2 5p1/2  2  2.83110E+01  2.20000E+01  1.93000E+01  0.00000E+00  0.00000E+00
 57 La 19 O3 5p3/2  4  2.55397E+01  1.90000E+01  1.68000E+01  0.00000E+00  0.00000E+00
 57 La 20 O4 5d3/2  1  5.54306E+00  5.63700E+00  2.13700E+00  0.00000E+00  0.00000E+00
 57 La 24 P1 6s1/2  2  5.12709E+00  5.63700E+00  2.13700E+00  0.00000E+00  0.00000E+00
 58 Ce  1 K  1s1/2  2  4.04643E+04  4.04460E+04  4.04430E+04  1.47429E+01  1.52000E+01
 58 Ce  2 L1 2s1/2  2  6.52165E+03  6.55200E+03  6.54900E+03  3.84147E+00  2.50000E+00
 58 Ce  3 L2 2p1/2  2  6.17349E+03  6.16700E+03  6.16400E+03  3.22159E+00  3.41000E+00
 58 Ce  4 L3 2p3/2  4  5.72045E+03  5.72600E+03  5.72300E+03  3.00032E+00  3.19000E+00
 58 Ce  5 M1 3s1/2  2  1.41932E+03  1.43700E+03  1.43600E+03  1.29308E+01  1.16000E+01
 58 Ce  6 M2 3p1/2  2  1.26927E+03  1.27500E+03  1.27400E+03  5.69165E+00  4.30000E+00
 58 Ce  7 M3 3p3/2  4  1.17948E+03  1.18400E+03  1.18700E+03  6.57083E+00  6.20000E+00
 58 Ce  8 M4 3d3/2  4  9.14356E+02  9.03000E+02  9.02400E+02  7.92757E-01  7.20000E-01
 58 Ce  9 M5 3d5/2  6  8.94867E+02  8.85000E+02  8.83800E+02  7.21487E-01  7.20000E-01
 58 Ce 10 N1 4s1/2  2  2.93321E+02  2.91000E+02  2.91000E+02  7.64868E+00  3.50000E+00
 58 Ce 11 N2 4p1/2  2  2.36760E+02  2.25000E+02  2.23200E+02  1.24984E+01  5.06000E+00
 58 Ce 12 N3 4p3/2  4  2.17235E+02  2.09000E+02  2.06500E+02  3.72287E+00  1.60000E+00
 58 Ce 13 N4 4d3/2  4  1.23329E+02  1.14000E+02  1.09000E+02  6.08783E-01  6.10000E-01
 58 Ce 14 N5 4d5/2  6  1.19839E+02  1.11000E+02  1.08100E+02  3.22657E-01  3.20000E-01
 58 Ce 17 O1 5s1/2  2  4.52471E+01  3.90000E+01  3.78000E+01  5.97759E-01  0.00000E+00
 58 Ce 18 O2 5p1/2  2  2.92905E+01  2.50000E+01  1.98000E+01  0.00000E+00  0.00000E+00
 58 Ce 19 O3 5p3/2  4  2.62785E+01  2.20000E+01  1.70000E+01  0.00000E+00  0.00000E+00
 58 Ce 15 N6 4f5/2  1  1.28631E+01  6.00000E+00  1.00000E-01  0.00000E+00  0.00000E+00
 58 Ce 20 O4 5d3/2  1  5.53233E+00  5.76700E+00  2.86700E+00  0.00000E+00  0.00000E+00
 58 Ce 24 P1 6s1/2  2  5.21071E+00  5.76700E+00  2.86700E+00  0.00000E+00  0.00000E+00
 59 Pr  1 K  1s1/2  2  4.20180E+04  4.19950E+04  4.19910E+04  1.57798E+01  1.62000E+01
 59 Pr  2 L1 2s1/2  2  6.80803E+03  6.83900E+03  6.83500E+03  3.95863E+00  2.70000E+00
 59 Pr  3 L2 2p1/2  2  6.45100E+03  6.44400E+03  6.44000E+03  3.29943E+00  3.48000E+00
 59 Pr  4 L3 2p3/2  4  5.96196E+03  5.96800E+03  5.96400E+03  3.08759E+00  3.27000E+00
 59 Pr  5 M1 3s1/2  2  1.48939E+03  1.50900E+03  1.51100E+03  1.35065E+01  1.18000E+01
 59 Pr  6 M2 3p1/2  2  1.33488E+03  1.34200E+03  1.33700E+03  6.00843E+00  4.50000E+00
 59 Pr  7 M3 3p3/2  4  1.23721E+03  1.24400E+03  1.24200E+03  6.95064E+00  6.70000E+00
 59 Pr  8 M4 3d3/2  4  9.64700E+02  9.54000E+02  9.48300E+02  8.73501E-01  7.50000E-01
 59 Pr  9 M5 3d5/2  6  9.43436E+02  9.34000E+02  9.31840E+02  7.49971E-01  7.50000E-01
 59 Pr 10 N1 4s1/2  2  3.07502E+02  3.07000E+02  3.04500E+02  8.24699E+00  3.70000E+00
 59 Pr 11 N2 4p1/2  2  2.48768E+02  2.38000E+02  2.36300E+02  1.18364E+01  5.08000E+00
 59 Pr 12 N3 4p3/2  4  2.27389E+02  2.20000E+02  2.17600E+02  4.34899E+00  1.75000E+00
 59 Pr 13 N4 4d3/2  4  1.29791E+02  1.21000E+02  1.15100E+02  7.80922E-01  7.80000E-01
 59 Pr 14 N5 4d5/2  6  1.25947E+02  1.17000E+02  1.15100E+02  5.31724E-01  5.30000E-01
 59 Pr 17 O1 5s1/2  2  4.68220E+01  4.10000E+01  3.74000E+01  5.74590E-01  0.00000E+00
 59 Pr 18 O2 5p1/2  2  3.02325E+01  2.70000E+01  2.23000E+01  0.00000E+00  0.00000E+00
 59 Pr 19 O3 5p3/2  4  2.69710E+01  2.40000E+01  2.23000E+01  0.00000E+00  0.00000E+00
 59 Pr 15 N6 4f5/2  2  1.37354E+01  6.00000E+00  2.00000E+00  0.00000E+00  0.00000E+00
 59 Pr 20 O4 5d3/2  1  5.49880E+00  5.61300E+00  2.61300E+00  0.00000E+00  0.00000E+00
 59 Pr 24 P1 6s1/2  2  5.29145E+00  5.61300E+00  2.61300E+00  0.00000E+00  0.00000E+00
 60 Nd  1 K  1s1/2  2  4.36055E+04  4.35750E+04  4.35690E+04  1.68720E+01  1.74000E+01
 60 Nd  2 L1 2s1/2  2  7.10152E+03  7.13200E+03  7.12600E+03  4.07911E+00  2.90000E+00
 60 Nd  3 L2 2p1/2  2  6.73552E+03  6.72700E+03  6.72200E+03  3.37623E+00  3.55000E+00
 60 Nd  4 L3 2p3/2  4  6.20824E+03  6.21300E+03  6.20800E+03  3.17523E+00  3.36000E+00
 60 Nd  5 M1 3s1/2  2  1.56100E+03  1.58000E+03  1.57500E+03  1.40723E+01  1.20000E+01
 60 Nd  6 M2 3p1/2  2  1.40196E+03  1.40800E+03  1.40300E+03  6.34436E+00  4.70000E+00
 60 Nd  7 M3 3p3/2  4  1.29589E+03  1.30300E+03  1.29700E+03  7.28660E+00  7.30000E+00
 60 Nd  8 M4 3d3/2  4  1.01595E+03  1.00500E+03  1.00330E+03  9.74141E-01  7.80000E-01
 60 Nd  9 M5 3d5/2  6  9.92792E+02  9.83000E+02  9.80850E+02  7.81302E-01  7.80000E-01
 60 Nd 10 N1 4s1/2  2  3.21814E+02  3.21000E+02  3.19200E+02  8.81531E+00  4.00000E+00
 60 Nd 11 N2 4p1/2  2  2.60877E+02  2.50000E+02  2.43300E+02  1.20744E+01  5.10000E+00
 60 Nd 12 N3 4p3/2  4  2.37524E+02  2.30000E+02  2.24600E+02  4.94661E+00  1.90000E+00
 60 Nd 13 N4 4d3/2  4  1.36197E+02  1.26000E+02  1.20500E+02  1.05413E+00  1.05000E+00
 60 Nd 14 N5 4d5/2  6  1.31976E+02  1.22000E+02  1.20500E+02  7.96326E-01  8.00000E-01
 60 Nd 17 O1 5s1/2  2  4.83748E+01  4.20000E+01  3.75000E+01  5.51421E-01  0.00000E+00
 60 Nd 18 O2 5p1/2  2  3.11510E+01  2.80000E+01  2.11000E+01  0.00000E+00  0.00000E+00
 60 Nd 19 O3 5p3/2  4  2.76301E+01  2.50000E+01  2.11000E+01  0.00000E+00  0.00000E+00
 60 Nd 15 N6 4f5/2  3  1.44893E+01  6.00000E+00  1.50000E+00  0.00000E+00  0.00000E+00
 60 Nd 20 O4 5d3/2  1  5.44810E+00  5.66000E+00  2.46000E+00  0.00000E+00  0.00000E+00
 60 Nd 24 P1 6s1/2  2  5.37128E+00  5.66000E+00  2.46000E+00  0.00000E+00  0.00000E+00
 61 Pm  1 K  1s1/2  2  4.52275E+04  4.51880E+04  4.51840E+04  1.80128E+01  1.85000E+01
 61 Pm  2 L1 2s1/2  2  7.40229E+03  7.43200E+03  7.42800E+03  4.20419E+00  3.10000E+00
 61 Pm  3 L2 2p1/2  2  7.02723E+03  7.01700E+03  7.01300E+03  3.45436E+00  3.63000E+00
 61 Pm  4 L3 2p3/2  4  6.45933E+03  6.46400E+03  6.45900E+03  3.26354E+00  3.44000E+00
 61 Pm  5 M1 3s1/2  2  1.63424E+03  1.65300E+03  1.65000E+03  1.45822E+01  1.22000E+01
 61 Pm  6 M2 3p1/2  2  1.47062E+03  1.47600E+03  1.47100E+03  6.67475E+00  5.00000E+00
 61 Pm  7 M3 3p3/2  4  1.35558E+03  1.36200E+03  1.35700E+03  6.97763E+00  7.80000E+00
 61 Pm  8 M4 3d3/2  4  1.06815E+03  1.05700E+03  1.05200E+03  1.07436E+00  8.20000E-01
 61 Pm  9 M5 3d5/2  6  1.04298E+03  1.03200E+03  1.02700E+03  8.17664E-01  8.20000E-01
 61 Pm 10 N1 4s1/2  2  3.36305E+02  3.35000E+02  3.32000E+02  9.35464E+00  4.20000E+00
 61 Pm 11 N2 4p1/2  2  2.73132E+02  2.61000E+02  2.42000E+02  1.21285E+01  5.13000E+00
 61 Pm 12 N3 4p3/2  4  2.47676E+02  2.40000E+02  2.42000E+02  5.52024E+00  2.05000E+00
 61 Pm 13 N4 4d3/2  4  1.42580E+02  1.31000E+02  1.20000E+02  1.38187E+00  1.38000E+00
 61 Pm 14 N5 4d5/2  6  1.37957E+02  1.27000E+02  1.20000E+02  1.11335E+00  1.11000E+00
 61 Pm 17 O1 5s1/2  2  4.99176E+01  4.30000E+01  4.00000E+01  5.37722E-01  0.00000E+00
 61 Pm 18 O2 5p1/2  2  3.20553E+01  2.80000E+01  2.50000E+01  0.00000E+00  0.00000E+00
 61 Pm 19 O3 5p3/2  4  2.82637E+01  2.50000E+01  2.20000E+01  0.00000E+00  0.00000E+00
 61 Pm 15 N6 4f5/2  4  1.51429E+01  6.00000E+00  3.00000E+00  0.00000E+00  0.00000E+00
 61 Pm 20 O4 5d3/2  1  5.38362E+00  5.70000E+00  2.70000E+00  0.00000E+00  0.00000E+00
 61 Pm 24 P1 6s1/2  2  5.45064E+00  5.70000E+00  2.70000E+00  0.00000E+00  0.00000E+00
 62 Sm  1 K  1s1/2  2  4.68843E+04  4.68370E+04  4.68340E+04  1.92250E+01  1.98000E+01
 62 Sm  2 L1 2s1/2  2  7.71047E+03  7.74000E+03  7.73700E+03  4.32583E+00  3.30000E+00
 62 Sm  3 L2 2p1/2  2  7.32625E+03  7.31500E+03  7.31200E+03  3.53158E+00  3.70000E+00
 62 Sm  4 L3 2p3/2  4  6.71528E+03  6.72000E+03  6.71600E+03  3.35321E+00  3.53000E+00
 62 Sm  5 M1 3s1/2  2  1.70916E+03  1.72800E+03  1.72300E+03  1.50791E+01  1.24000E+01
 62 Sm  6 M2 3p1/2  2  1.54092E+03  1.54600E+03  1.54100E+03  7.01951E+00  5.20000E+00
 62 Sm  7 M3 3p3/2  4  1.41631E+03  1.42200E+03  1.42000E+03  7.36233E+00  8.10000E+00
 62 Sm  8 M4 3d3/2  4  1.12136E+03  1.11000E+03  1.11090E+03  1.17564E+00  8.60000E-01
 62 Sm  9 M5 3d5/2  6  1.09404E+03  1.08300E+03  1.08340E+03  8.58153E-01  8.60000E-01
 62 Sm 10 N1 4s1/2  2  3.51011E+02  3.49000E+02  3.47200E+02  9.86976E+00  4.40000E+00
 62 Sm 11 N2 4p1/2  2  2.85568E+02  2.73000E+02  2.65600E+02  1.20225E+01  5.16000E+00
 62 Sm 12 N3 4p3/2  4  2.57873E+02  2.51000E+02  2.47400E+02  6.06366E+00  2.20000E+00
 62 Sm 13 N4 4d3/2  4  1.48961E+02  1.37000E+02  1.29000E+02  1.77761E+00  1.78000E+00
 62 Sm 14 N5 4d5/2  6  1.43913E+02  1.32000E+02  1.29000E+02  1.47879E+00  1.48000E+00
 62 Sm 17 O1 5s1/2  2  5.14590E+01  4.40000E+01  3.74000E+01  5.24033E-01  0.00000E+00
 62 Sm 18 O2 5p1/2  2  3.29521E+01  2.90000E+01  2.13000E+01  0.00000E+00  0.00000E+00
 62 Sm 19 O3 5p3/2  4  2.88776E+01  2.50000E+01  2.13000E+01  0.00000E+00  0.00000E+00
 62 Sm 15 N6 4f5/2  5  1.57094E+01  6.00000E+00  5.20000E+00  0.00000E+00  0.00000E+00
 62 Sm 20 O4 5d3/2  1  5.30765E+00  5.63000E+00  2.93000E+00  0.00000E+00  0.00000E+00
 62 Sm 24 P1 6s1/2  2  5.52945E+00  5.63000E+00  2.93000E+00  0.00000E+00  0.00000E+00
 63 Eu  1 K  1s1/2  2  4.85764E+04  4.85220E+04  4.85190E+04  2.04901E+01  2.11000E+01
 63 Eu  2 L1 2s1/2  2  8.02624E+03  8.05600E+03  8.05200E+03  4.45709E+00  3.60000E+00
 63 Eu  3 L2 2p1/2  2  7.63275E+03  7.62100E+03  7.61700E+03  3.61128E+00  3.77000E+00
 63 Eu  4 L3 2p3/2  4  6.97611E+03  6.98100E+03  6.97700E+03  3.44426E+00  3.62000E+00
 63 Eu  5 M1 3s1/2  2  1.78584E+03  1.80500E+03  1.80000E+03  1.55710E+01  1.26000E+01
 63 Eu  6 M2 3p1/2  2  1.61291E+03  1.61800E+03  1.61400E+03  7.36913E+00  5.40000E+00
 63 Eu  7 M3 3p3/2  4  1.47813E+03  1.48400E+03  1.48100E+03  7.75880E+00  8.20000E+00
 63 Eu  8 M4 3d3/2  4  1.17559E+03  1.16400E+03  1.15860E+03  1.29021E+00  9.00000E-01
 63 Eu  9 M5 3d5/2  6  1.14599E+03  1.13500E+03  1.12750E+03  9.02756E-01  9.00000E-01
 63 Eu 10 N1 4s1/2  2  3.65963E+02  3.64000E+02  3.60000E+02  1.03703E+01  4.60000E+00
 63 Eu 11 N2 4p1/2  2  2.98213E+02  2.86000E+02  2.84000E+02  1.25716E+01  5.20000E+00
